# mapping_set_id: https://w3id.org/lmodel/dpv/mappings/dpv-ai-iso42001
# mapping_set_description: DPV `ai` extension <-> ISO/IEC 42001:2023 (AI Management Systems) term alignments. Hand-curated against the lmodel iso42001 LinkML schema (https://w3id.org/lmodel/iso42001/). Maps the DPV AI taxonomy (system classes, lifecycle stages, capabilities, risks, biases) to AIMS clauses. Primary high-leverage overlay for FINOS AI-governance use cases.
# mapping_set_version: 1.0
# license: https://creativecommons.org/licenses/by/4.0/
# curie_map:
#   ai: https://w3id.org/lmodel/dpv/ai/
#   iso42001: https://w3id.org/lmodel/iso42001/
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/

subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_source
ai:AI	AI	skos:closeMatch	iso42001:AISystem	AI System	semapv:LLMBasedMatching	ISO/IEC 42001:2023
ai:AISystem	AI System	skos:exactMatch	iso42001:AISystem	AI System	semapv:LLMBasedMatching	ISO/IEC 42001:2023
ai:AIAgent	AI Agent	skos:closeMatch	iso42001:AISystem	AI System	semapv:LLMBasedMatching	ISO/IEC 42001:2023
ai:GPAI	General Purpose AI	skos:closeMatch	iso42001:AISystem	AI System	semapv:LLMBasedMatching	ISO/IEC 42001:2023
ai:GPAIModel	GPAI Model	skos:closeMatch	iso42001:AISystem	AI System	semapv:LLMBasedMatching	ISO/IEC 42001:2023
ai:GenAI	Generative AI	skos:closeMatch	iso42001:AISystem	AI System	semapv:LLMBasedMatching	ISO/IEC 42001:2023
ai:AIProcess	AI Process	skos:relatedMatch	iso42001:AIManagementSystem	AI Management System	semapv:LLMBasedMatching	ISO/IEC 42001:2023
ai:DesignStage	Design Stage	skos:closeMatch	iso42001:AIReferenceControl	AI Reference Control	semapv:LLMBasedMatching	ISO/IEC 42001:2023
ai:DevelopmentStage	Development Stage	skos:closeMatch	iso42001:AIReferenceControl	AI Reference Control	semapv:LLMBasedMatching	ISO/IEC 42001:2023
ai:DeploymentStage	Deployment Stage	skos:closeMatch	iso42001:AIReferenceControl	AI Reference Control	semapv:LLMBasedMatching	ISO/IEC 42001:2023
ai:ContinuousValidationStage	Continuous Validation Stage	skos:closeMatch	iso42001:AIReferenceControl	AI Reference Control	semapv:LLMBasedMatching	ISO/IEC 42001:2023
ai:DecommissionStage	Decommission Stage	skos:closeMatch	iso42001:AIReferenceControl	AI Reference Control	semapv:LLMBasedMatching	ISO/IEC 42001:2023
ai:DiscardStage	Discard Stage	skos:closeMatch	iso42001:AIReferenceControl	AI Reference Control	semapv:LLMBasedMatching	ISO/IEC 42001:2023
ai:DataPreparation	Data Preparation	skos:closeMatch	iso42001:DataResource	Data Resource	semapv:LLMBasedMatching	ISO/IEC 42001:2023
ai:DataCollection	Data Collection	skos:closeMatch	iso42001:DataResource	Data Resource	semapv:LLMBasedMatching	ISO/IEC 42001:2023
ai:DataAnnotation	Data Annotation	skos:closeMatch	iso42001:DataResource	Data Resource	semapv:LLMBasedMatching	ISO/IEC 42001:2023
ai:DataLabelling	Data Labelling	skos:closeMatch	iso42001:DataResource	Data Resource	semapv:LLMBasedMatching	ISO/IEC 42001:2023
ai:DataCleaning	Data Cleaning	skos:closeMatch	iso42001:DataResource	Data Resource	semapv:LLMBasedMatching	ISO/IEC 42001:2023
ai:DataEnrichment	Data Enrichment	skos:closeMatch	iso42001:DataResource	Data Resource	semapv:LLMBasedMatching	ISO/IEC 42001:2023
ai:DataAggregation	Data Aggregation	skos:closeMatch	iso42001:DataResource	Data Resource	semapv:LLMBasedMatching	ISO/IEC 42001:2023
ai:DataUpdating	Data Updating	skos:closeMatch	iso42001:DataResource	Data Resource	semapv:LLMBasedMatching	ISO/IEC 42001:2023
ai:AISystemRisk	AI System Risk	skos:exactMatch	iso42001:AIRisk	AI Risk	semapv:LLMBasedMatching	ISO/IEC 42001:2023
ai:AIBias	AI Bias	skos:closeMatch	iso42001:AIRisk	AI Risk	semapv:LLMBasedMatching	ISO/IEC 42001:2023
ai:DataBias	Data Bias	skos:relatedMatch	iso42001:AIRisk	AI Risk	semapv:LLMBasedMatching	ISO/IEC 42001:2023
ai:DataRisk	Data Risk	skos:relatedMatch	iso42001:AIRisk	AI Risk	semapv:LLMBasedMatching	ISO/IEC 42001:2023
ai:ExplainabilityRisk	Explainability Risk	skos:closeMatch	iso42001:AIRisk	AI Risk	semapv:LLMBasedMatching	ISO/IEC 42001:2023
ai:AccuracyRisk	Accuracy Risk	skos:closeMatch	iso42001:AIRisk	AI Risk	semapv:LLMBasedMatching	ISO/IEC 42001:2023
ai:AdversarialAttack	Adversarial Attack	skos:closeMatch	iso42001:AIIncident	AI Incident	semapv:LLMBasedMatching	ISO/IEC 42001:2023
ai:DataPoisoning	Data Poisoning	skos:closeMatch	iso42001:AIIncident	AI Incident	semapv:LLMBasedMatching	ISO/IEC 42001:2023
ai:BiasAssessment	Bias Assessment	skos:closeMatch	iso42001:AISystemImpactAssessment	AI System Impact Assessment	semapv:LLMBasedMatching	ISO/IEC 42001:2023
ai:BiasDetection	Bias Detection	skos:closeMatch	iso42001:AISystemImpactAssessment	AI System Impact Assessment	semapv:LLMBasedMatching	ISO/IEC 42001:2023
ai:BiasMitigation	Bias Mitigation	skos:closeMatch	iso42001:AIRiskTreatmentPlan	AI Risk Treatment Plan	semapv:LLMBasedMatching	ISO/IEC 42001:2023
ai:BiasPrevention	Bias Prevention	skos:closeMatch	iso42001:AIRiskTreatmentPlan	AI Risk Treatment Plan	semapv:LLMBasedMatching	ISO/IEC 42001:2023
ai:Benchmarking	Benchmarking	skos:closeMatch	iso42001:InternalAudit	Internal Audit	semapv:LLMBasedMatching	ISO/IEC 42001:2023
