# mapping_set_id: https://w3id.org/lmodel/dpv/mappings/dpv-gist
# mapping_set_description: DPV <-> gist (Semantic Arts upper ontology) term alignments. Hand-curated against the lmodel gist LinkML schema (https://w3id.org/lmodel/gists/). Provides upper-ontology grounding for DPV entities, agreements, contracts, intellectual property, and addresses.
# mapping_set_version: 1.0
# license: https://creativecommons.org/licenses/by/4.0/
# curie_map:
#   dpv: https://w3id.org/lmodel/dpv/
#   gists: https://w3id.org/lmodel/gists/
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/

subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_source
dpv:DataProcessingAgreement	Data Processing Agreement	skos:narrowMatch	gists:Agreement	Agreement	semapv:LLMBasedMatching	gist (Semantic Arts upper ontology)
dpv:DataSubject	Data Subject	skos:narrowMatch	gists:Person	Person	semapv:LLMBasedMatching	gist (Semantic Arts upper ontology)
dpv:DpvContract	Contract	skos:exactMatch	gists:Contract	Contract	semapv:LLMBasedMatching	gist (Semantic Arts upper ontology)
dpv:IntellectualPropertyData	Intellectual Property Data	skos:narrowMatch	gists:IntellectualProperty	Intellectual Property	semapv:LLMBasedMatching	gist (Semantic Arts upper ontology)
dpv:LegalEntity	Legal Entity	skos:closeMatch	gists:Organization	Organization	semapv:LLMBasedMatching	gist (Semantic Arts upper ontology)
dpv:NaturalPerson	Natural Person	skos:exactMatch	gists:Person	Person	semapv:LLMBasedMatching	gist (Semantic Arts upper ontology)
dpv:Obligation	Obligation	skos:closeMatch	gists:ContingentObligation	Contingent Obligation	semapv:LLMBasedMatching	gist (Semantic Arts upper ontology)
dpv:OrganisationalUnit	Organisational Unit	skos:narrowMatch	gists:Organization	Organization	semapv:LLMBasedMatching	gist (Semantic Arts upper ontology)
dpv:Permission	Permission	skos:exactMatch	gists:Permission	Permission	semapv:LLMBasedMatching	gist (Semantic Arts upper ontology)
dpv:PersonalSpace	Personal Space	skos:narrowMatch	gists:GeoRegion	GeoRegion	semapv:LLMBasedMatching	gist (Semantic Arts upper ontology)
dpv:StorageLocation	Storage Location	skos:closeMatch	gists:GeoLocation	GeoLocation	semapv:LLMBasedMatching	gist (Semantic Arts upper ontology)
dpv:ThirdParty	Third Party	skos:narrowMatch	gists:Organization	Organization	semapv:LLMBasedMatching	gist (Semantic Arts upper ontology)
