# mapping_set_id: https://w3id.org/lmodel/dpv/mappings/dpv-iso27001
# mapping_set_description: DPV <-> ISO/IEC 27001:2022 (Information Security Management System) term alignments. Hand-curated against the lmodel iso27001 LinkML schema (https://w3id.org/lmodel/iso27001/). Connects DPV privacy-governance concepts (risk, audit, controls, organisational/technical measures) to ISMS structural concepts.
# mapping_set_version: 1.0
# license: https://creativecommons.org/licenses/by/4.0/
# curie_map:
#   dpv: https://w3id.org/lmodel/dpv/
#   iso27001: https://w3id.org/lmodel/iso27001/
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/

subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_source
dpv:Audit	Audit	skos:closeMatch	iso27001:InternalAudit	Internal Audit	semapv:LLMBasedMatching	ISO/IEC 27001:2022
dpv:DataController	Data Controller	skos:relatedMatch	iso27001:Organization	Organization	semapv:LLMBasedMatching	ISO/IEC 27001:2022 (organisation may act as controller)
dpv:DataProcessor	Data Processor	skos:relatedMatch	iso27001:Organization	Organization	semapv:LLMBasedMatching	ISO/IEC 27001:2022 (organisation may act as processor)
dpv:DataSubject	Data Subject	skos:relatedMatch	iso27001:InterestedParty	Interested Party	semapv:LLMBasedMatching	ISO/IEC 27001:2022 (data subjects are interested parties of the ISMS)
dpv:DpvRisk	Risk	skos:closeMatch	iso27001:Risk	Risk	semapv:LLMBasedMatching	ISO/IEC 27001:2022 (security risk specialised to privacy)
dpv:Encryption	Encryption	skos:narrowMatch	iso27001:SecurityControl	Security Control	semapv:LLMBasedMatching	ISO/IEC 27001:2022 Annex A cryptographic controls
dpv:OrganisationalMeasure	Organisational Measure	skos:narrowMatch	iso27001:SecurityControl	Security Control	semapv:LLMBasedMatching	ISO/IEC 27001:2022 (organisational subset of Annex A controls)
dpv:OrganisationalUnit	Organisational Unit	skos:closeMatch	iso27001:Organization	Organization	semapv:LLMBasedMatching	ISO/IEC 27001:2022
dpv:PersonalData	Personal Data	skos:narrowMatch	iso27001:Asset	Asset	semapv:LLMBasedMatching	ISO/IEC 27001:2022 (PII is an information asset)
dpv:DataBreachRecord	Data Breach Record	skos:closeMatch	iso27001:InformationSecurityIncident	Information Security Incident	semapv:LLMBasedMatching	ISO/IEC 27001:2022 (data breach as security incident)
dpv:DpvPolicy	Policy	skos:closeMatch	iso27001:InformationSecurityPolicy	Information Security Policy	semapv:LLMBasedMatching	ISO/IEC 27001:2022
dpv:ResidualRisk	Residual Risk	skos:relatedMatch	iso27001:RiskTreatmentPlan	Risk Treatment Plan	semapv:LLMBasedMatching	ISO/IEC 27001:2022 (residual risk recorded in treatment plan)
dpv:RiskAssessment	Risk Assessment	skos:closeMatch	iso27001:RiskAssessment	Risk Assessment	semapv:LLMBasedMatching	ISO/IEC 27001:2022
dpv:OrganisationRiskManagement	Organisation Risk Management	skos:relatedMatch	iso27001:RiskAssessmentProcess	Risk Assessment Process	semapv:LLMBasedMatching	ISO/IEC 27001:2022
dpv:RiskMitigationMeasure	Risk Mitigation Measure	skos:closeMatch	iso27001:RiskTreatmentOption	Risk Treatment Option	semapv:LLMBasedMatching	ISO/IEC 27001:2022
dpv:DataSecurityManagement	Data Security Management	skos:closeMatch	iso27001:InformationSecurityManagementSystem	ISMS	semapv:LLMBasedMatching	ISO/IEC 27001:2022 (ISMS specialised to data security)
dpv:TechnicalMeasure	Technical Measure	skos:narrowMatch	iso27001:SecurityControl	Security Control	semapv:LLMBasedMatching	ISO/IEC 27001:2022 (technical subset of Annex A controls)
dpv:ThirdParty	Third Party	skos:closeMatch	iso27001:InterestedParty	Interested Party	semapv:LLMBasedMatching	ISO/IEC 27001:2022
