# mapping_set_id: https://w3id.org/lmodel/dpv/mappings/dpv-iso29100-lmodel
# mapping_set_description: DPV <-> ISO/IEC 29100 (Privacy Framework) mappings against the lmodel iso29100 LinkML schema (https://w3id.org/lmodel/iso29100/). Supplements the existing dpv-iso.sssom.tsv (which targets only the five core PII roles) by covering privacy-process, risk, breach, policy, control, and stakeholder concepts.
# mapping_set_version: 1.0
# license: https://creativecommons.org/licenses/by/4.0/
# curie_map:
#   dpv: https://w3id.org/lmodel/dpv/
#   iso29100: https://w3id.org/lmodel/iso29100/
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/

subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_source
dpv:ConsentRecord	Consent Record	skos:exactMatch	iso29100:ConsentRecord	Consent Record	semapv:LLMBasedMatching	ISO/IEC 29100 (lmodel)
dpv:DataBreachRecord	Data Breach Record	skos:closeMatch	iso29100:PrivacyBreach	Privacy Breach	semapv:LLMBasedMatching	ISO/IEC 29100 (lmodel)
dpv:DataController	Data Controller	skos:exactMatch	iso29100:PIIController	PII Controller	semapv:LLMBasedMatching	ISO/IEC 29100 (lmodel)
dpv:DataProcessor	Data Processor	skos:exactMatch	iso29100:PIIProcessor	PII Processor	semapv:LLMBasedMatching	ISO/IEC 29100 (lmodel)
dpv:DataSubject	Data Subject	skos:exactMatch	iso29100:PIIPrincipal	PII Principal	semapv:LLMBasedMatching	ISO/IEC 29100 (lmodel)
dpv:DpvPolicy	Policy	skos:closeMatch	iso29100:PrivacyPolicy	Privacy Policy	semapv:LLMBasedMatching	ISO/IEC 29100 (lmodel)
dpv:DpvRisk	Risk	skos:closeMatch	iso29100:PrivacyRisk	Privacy Risk	semapv:LLMBasedMatching	ISO/IEC 29100 (lmodel)
dpv:InformedConsent	Informed Consent	skos:closeMatch	iso29100:ConsentMechanism	Consent Mechanism	semapv:LLMBasedMatching	ISO/IEC 29100 (lmodel)
dpv:OrganisationalMeasure	Organisational Measure	skos:broadMatch	iso29100:PrivacyControl	Privacy Control	semapv:LLMBasedMatching	ISO/IEC 29100 (lmodel)
dpv:PersonalData	Personal Data	skos:closeMatch	iso29100:PersonallyIdentifiableInformation	Personally Identifiable Information	semapv:LLMBasedMatching	ISO/IEC 29100 (lmodel)
dpv:PersonalDataHandling	Personal Data Handling	skos:exactMatch	iso29100:PIIFlowScenario	PII Flow Scenario	semapv:LLMBasedMatching	ISO/IEC 29100 (lmodel)
dpv:PersonalDataProcess	Personal Data Process	skos:exactMatch	iso29100:PIIProcessingActivity	PII Processing Activity	semapv:LLMBasedMatching	ISO/IEC 29100 (lmodel)
dpv:PIA	Privacy Impact Assessment	skos:exactMatch	iso29100:PrivacyImpactAssessment	Privacy Impact Assessment	semapv:LLMBasedMatching	ISO/IEC 29100 (lmodel)
dpv:PrivacyNotice	Privacy Notice	skos:closeMatch	iso29100:PrivacyPolicy	Privacy Policy	semapv:LLMBasedMatching	ISO/IEC 29100 (lmodel)
dpv:Processing	Processing	skos:closeMatch	iso29100:PIIProcessingOperation	PII Processing Operation	semapv:LLMBasedMatching	ISO/IEC 29100 (lmodel)
dpv:RiskMitigationMeasure	Risk Mitigation Measure	skos:closeMatch	iso29100:PrivacySafeguardingRequirement	Privacy Safeguarding Requirement	semapv:LLMBasedMatching	ISO/IEC 29100 (lmodel)
dpv:TechnicalMeasure	Technical Measure	skos:broadMatch	iso29100:PrivacyControl	Privacy Control	semapv:LLMBasedMatching	ISO/IEC 29100 (lmodel)
dpv:ThirdParty	Third Party	skos:exactMatch	iso29100:ThirdParty	Third Party	semapv:LLMBasedMatching	ISO/IEC 29100 (lmodel)
