# mapping_set_id: https://w3id.org/lmodel/dpv/mappings/dpv-iso42001
# mapping_set_description: DPV <-> ISO/IEC 42001:2023 (AI Management Systems) term alignments. Hand-curated against the lmodel iso42001 LinkML schema (https://w3id.org/lmodel/iso42001/). Maps DPV AI governance, risk, and impact-assessment concepts to the AIMS clauses.
# mapping_set_version: 1.0
# license: https://creativecommons.org/licenses/by/4.0/
# curie_map:
#   dpv: https://w3id.org/lmodel/dpv/
#   iso42001: https://w3id.org/lmodel/iso42001/
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/

subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_source
dpv:AIGovernance	AI Governance	skos:closeMatch	iso42001:AIManagementSystem	AI Management System	semapv:LLMBasedMatching	ISO/IEC 42001:2023
dpv:AILiteracy	AI Literacy	skos:relatedMatch	iso42001:AIReferenceControl	AI Reference Control	semapv:LLMBasedMatching	ISO/IEC 42001:2023
dpv:AINotice	AI Notice	skos:relatedMatch	iso42001:AISystem	AI System	semapv:LLMBasedMatching	ISO/IEC 42001:2023
dpv:Audit	Audit	skos:closeMatch	iso42001:InternalAudit	Internal Audit	semapv:LLMBasedMatching	ISO/IEC 42001:2023
dpv:DataGovernance	Data Governance	skos:relatedMatch	iso42001:DataResource	Data Resource	semapv:LLMBasedMatching	ISO/IEC 42001:2023
dpv:DpvPolicy	Policy	skos:closeMatch	iso42001:AIPolicy	AI Policy	semapv:LLMBasedMatching	ISO/IEC 42001:2023
dpv:DpvRisk	Risk	skos:closeMatch	iso42001:AIRisk	AI Risk	semapv:LLMBasedMatching	ISO/IEC 42001:2023
dpv:ImpactAssessment	Impact Assessment	skos:closeMatch	iso42001:AISystemImpactAssessment	AI System Impact Assessment	semapv:LLMBasedMatching	ISO/IEC 42001:2023
dpv:IncidentManagementProcedures	Incident Management Procedures	skos:relatedMatch	iso42001:AIIncident	AI Incident	semapv:LLMBasedMatching	ISO/IEC 42001:2023
dpv:PIA	Privacy Impact Assessment	skos:closeMatch	iso42001:AISystemImpactAssessment	AI System Impact Assessment	semapv:LLMBasedMatching	ISO/IEC 42001:2023
dpv:RiskAssessment	Risk Assessment	skos:closeMatch	iso42001:AIRiskAssessment	AI Risk Assessment	semapv:LLMBasedMatching	ISO/IEC 42001:2023
dpv:RiskMitigationMeasure	Risk Mitigation Measure	skos:closeMatch	iso42001:AIRiskTreatmentPlan	AI Risk Treatment Plan	semapv:LLMBasedMatching	ISO/IEC 42001:2023
dpv:ThirdParty	Third Party	skos:closeMatch	iso42001:ThirdPartyRelationship	Third Party Relationship	semapv:LLMBasedMatching	ISO/IEC 42001:2023
