# mapping_set_id: https://w3id.org/lmodel/dpv/mappings/dpv-justifications-oscal
# mapping_set_description: DPV `justifications` extension <-> NIST OSCAL (Open Security Controls Assessment Language) responsibility / risk-acceptance / by-component statement concepts. LLM-seeded candidate alignments (Claude Opus 4.7) - most DPV justifications are domain-specific (GDPR objection grounds, public-interest exceptions, breach-notice waivers) without a direct OSCAL counterpart, so almost all rows are `skos:relatedMatch` against generic OSCAL responsibility / risk-acceptance constructs. Each row classifies as `semapv:LLMBasedMatching` and requires human review before promotion to `semapv:LLMBasedMatching`.
# mapping_set_version: 0.2
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_provider: "https://github.com/copilot (model: Claude Opus 4.7)"
# curie_map:
#   justifications: https://w3id.org/lmodel/dpv/justifications/
#   oscal: https://w3id.org/lmodel/oscal/
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/

subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_source
justifications:DelayJustification	Delay Justification	skos:relatedMatch	oscal:ResponsibilityStatement	Responsibility Statement	semapv:LLMBasedMatching	NIST OSCAL 1.1
justifications:NonFulfilmentJustification	Non-Fulfilment Justification	skos:relatedMatch	oscal:RiskAcceptance	Risk Acceptance	semapv:LLMBasedMatching	NIST OSCAL 1.1
justifications:NotRequiredJustification	Not Required Justification	skos:relatedMatch	oscal:RiskAcceptance	Risk Acceptance	semapv:LLMBasedMatching	NIST OSCAL 1.1
justifications:ExerciseJustification	Exercise Justification	skos:relatedMatch	oscal:ResponsibilityStatement	Responsibility Statement	semapv:LLMBasedMatching	NIST OSCAL 1.1
justifications:RiskMitigated	Risk Mitigated	skos:closeMatch	oscal:RiskMitigatingFactor	Risk Mitigating Factor	semapv:LLMBasedMatching	NIST OSCAL 1.1
justifications:ProcessSafeguarded	Process Safeguarded	skos:closeMatch	oscal:RiskMitigatingFactor	Risk Mitigating Factor	semapv:LLMBasedMatching	NIST OSCAL 1.1
justifications:RightsFreedomsImpactUnlikely	Rights & Freedoms Impact Unlikely	skos:relatedMatch	oscal:RiskAcceptance	Risk Acceptance	semapv:LLMBasedMatching	NIST OSCAL 1.1
justifications:LegalObligation	Legal Obligation	skos:relatedMatch	oscal:ResponsibilityStatement	Responsibility Statement	semapv:LLMBasedMatching	NIST OSCAL 1.1
justifications:ConsentProvided	Consent Provided	skos:relatedMatch	oscal:ResponsibilityStatement	Responsibility Statement	semapv:LLMBasedMatching	NIST OSCAL 1.1
justifications:ProcessRejected	Process Rejected	skos:relatedMatch	oscal:RiskAcceptance	Risk Acceptance	semapv:LLMBasedMatching	NIST OSCAL 1.1
