# mapping_set_id: https://w3id.org/lmodel/dpv/mappings/dpv-legal-eu-aiact-iso42001
# mapping_set_description: DPV `legal/eu/aiact` extension <-> ISO/IEC 42001:2023 (AI Management Systems) clause / control alignment. LLM-seeded candidate alignments (Claude Opus 4.7) connecting EU AI Act roles (Provider/Deployer/Importer/Distributor/Authorised Representative), risk-level taxonomy (Prohibited/HighRisk/LimitedRisk/Minimal/Permitted), system types (GPAI/GPAIModel), Annex III high-risk areas, conformity-assessment & post-market-monitoring concepts to ISO 42001 AIMS clauses (governance, AI risk treatment, lifecycle data/process control) and Annex A/B reference controls. Each row classifies as `semapv:LLMBasedMatching` per the Semantic Mapping Vocabulary and requires human review before promotion to `semapv:LLMBasedMatching`. Highest-leverage overlay for FINOS AI-governance use cases alongside `dpv-ai-iso42001.sssom.tsv`.
# mapping_set_version: 0.2
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_provider: "https://github.com/copilot (model: Claude Opus 4.7)"
# curie_map:
#   legal_eu_aiact: https://w3id.org/lmodel/dpv/legal/eu/aiact/
#   iso42001: https://w3id.org/lmodel/iso42001/
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/

subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_source
legal_eu_aiact:AISystem	AI System	skos:exactMatch	iso42001:AISystem	AI System	semapv:LLMBasedMatching	ISO/IEC 42001:2023
legal_eu_aiact:HighRiskAISystem	High-Risk AI System	skos:closeMatch	iso42001:AIRisk	AI Risk	semapv:LLMBasedMatching	ISO/IEC 42001:2023
legal_eu_aiact:HighRiskAISystemA61	High-Risk AI System (Art. 6(1))	skos:closeMatch	iso42001:AIRisk	AI Risk	semapv:LLMBasedMatching	ISO/IEC 42001:2023
legal_eu_aiact:HighRiskAISystemA62	High-Risk AI System (Art. 6(2))	skos:closeMatch	iso42001:AIRisk	AI Risk	semapv:LLMBasedMatching	ISO/IEC 42001:2023
legal_eu_aiact:ProhibitedAISystem	Prohibited AI System	skos:closeMatch	iso42001:AIRisk	AI Risk	semapv:LLMBasedMatching	ISO/IEC 42001:2023
legal_eu_aiact:GPAIModel	General-Purpose AI Model	skos:closeMatch	iso42001:AISystem	AI System	semapv:LLMBasedMatching	ISO/IEC 42001:2023
legal_eu_aiact:GPAISystem	General-Purpose AI System	skos:closeMatch	iso42001:AISystem	AI System	semapv:LLMBasedMatching	ISO/IEC 42001:2023
legal_eu_aiact:HighImpactCapabilityGPAIModel	High-Impact-Capability GPAI Model	skos:closeMatch	iso42001:AISystem	AI System	semapv:LLMBasedMatching	ISO/IEC 42001:2023
legal_eu_aiact:SystemicRisk	Systemic Risk	skos:closeMatch	iso42001:AIRisk	AI Risk	semapv:LLMBasedMatching	ISO/IEC 42001:2023
legal_eu_aiact:Risk	Risk	skos:closeMatch	iso42001:AIRisk	AI Risk	semapv:LLMBasedMatching	ISO/IEC 42001:2023
legal_eu_aiact:RiskLevel	Risk Level	skos:closeMatch	iso42001:AIRisk	AI Risk	semapv:LLMBasedMatching	ISO/IEC 42001:2023
legal_eu_aiact:RiskLevelHigh	Risk Level: High	skos:relatedMatch	iso42001:AIRisk	AI Risk	semapv:LLMBasedMatching	ISO/IEC 42001:2023
legal_eu_aiact:RiskLevelProhibited	Risk Level: Prohibited	skos:relatedMatch	iso42001:AIRisk	AI Risk	semapv:LLMBasedMatching	ISO/IEC 42001:2023
legal_eu_aiact:RiskLevelMinimal	Risk Level: Minimal	skos:relatedMatch	iso42001:AIRisk	AI Risk	semapv:LLMBasedMatching	ISO/IEC 42001:2023
legal_eu_aiact:RiskLevelTransparencyRequired	Risk Level: Transparency Required	skos:relatedMatch	iso42001:AIRisk	AI Risk	semapv:LLMBasedMatching	ISO/IEC 42001:2023
