# mapping_set_id: https://w3id.org/lmodel/dpv/mappings/dpv-legal-eu-dga-iso27701
# mapping_set_description: DPV `legal/eu/dga` extension <-> ISO/IEC 27701:2019 (PIMS) alignment for the EU Data Governance Act. LLM-seeded candidate alignments (Claude Opus 4.7) - DGA roles (data holder / user / cooperative / intermediation service / altruism organisation), registers, and approval / authority concepts map mostly to ISO 27701 stakeholder and processing-record clauses. Each row classifies as `semapv:LLMBasedMatching` and requires human review before promotion to `semapv:LLMBasedMatching`.
# mapping_set_version: 0.2
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_provider: "https://github.com/copilot (model: Claude Opus 4.7)"
# curie_map:
#   legal_eu_dga: https://w3id.org/lmodel/dpv/legal/eu/dga/
#   iso27701: https://w3id.org/lmodel/iso27701/
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/

subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_source
legal_eu_dga:DataHolder	Data Holder	skos:closeMatch	iso27701:PIIController	PII controller	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_dga:DataUser	Data User	skos:closeMatch	iso27701:ThirdParty	third party	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_dga:DataIntermediationService	Data Intermediation Service	skos:relatedMatch	iso27701:PIIProcessor	PII processor	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_dga:DataIntermediationServiceBetweenSubjectsUsers	Data Intermediation Service Between Subjects & Users	skos:relatedMatch	iso27701:PIIProcessor	PII processor	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_dga:DataIntermediationServiceBetweenHoldersUsers	Data Intermediation Service Between Holders & Users	skos:relatedMatch	iso27701:PIIProcessor	PII processor	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_dga:DataCooperative	Data Cooperative	skos:relatedMatch	iso27701:PIIController	PII controller	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_dga:DataAltruismOrganisation	Data Altruism Organisation	skos:relatedMatch	iso27701:PIIController	PII controller	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_dga:DataAltruismNotice	Data Altruism Notice	skos:closeMatch	iso27701:Clause_7_3_2	Information for PII principals	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_dga:DataAltruismRecord	Data Altruism Record	skos:closeMatch	iso27701:Clause_7_2_8	Records related to processing PII	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_dga:DataIntermediationRecord	Data Intermediation Record	skos:closeMatch	iso27701:Clause_7_2_8	Records related to processing PII	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_dga:DataAltruismAuthority	Data Altruism Authority	skos:closeMatch	iso27701:SupervisoryAuthority	supervisory authority	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_dga:DataIntermediationAuthority	Data Intermediation Authority	skos:closeMatch	iso27701:SupervisoryAuthority	supervisory authority	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_dga:PublicSectorBody	Public Sector Body	skos:relatedMatch	iso27701:PIIController	PII controller	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_dga:LegalRepresentative	Legal Representative	skos:relatedMatch	iso27701:Clause_7_2_4	Obtain and record consent	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_dga:SecureProcessingEnvironment	Secure Processing Environment	skos:closeMatch	iso27701:Clause_6_5	Information security risk treatment	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_dga:EUDataAltruismConsentForm	EU Data Altruism Consent Form	skos:closeMatch	iso27701:Clause_7_2_4	Obtain and record consent	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_dga:PersonalDataReuseNotice	Personal Data Re-use Notice	skos:closeMatch	iso27701:Clause_7_3_2	Information for PII principals	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_dga:ThirdCountryDataRequestNotice	Third Country Data Request Notice	skos:closeMatch	iso27701:Clause_7_5_4	Records of PII disclosure to third parties	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_dga:A511MCC	A5-11 MCC	skos:relatedMatch	iso27701:Clause_7_5_2	Countries and international organizations to which PII can be transferred	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_dga:A512AdequacyDecision	A5-12 Adequacy Decision	skos:relatedMatch	iso27701:Clause_7_5_1	Identify basis for PII transfer between jurisdictions	semapv:LLMBasedMatching	ISO/IEC 27701:2019
