# mapping_set_id: https://w3id.org/lmodel/dpv/mappings/dpv-legal-eu-ehds-iso27701
# mapping_set_description: DPV `legal/eu/ehds` extension <-> ISO/IEC 27701:2019 (PIMS) alignment for the European Health Data Space (EHDS). LLM-seeded candidate alignments (Claude Opus 4.7) connecting EHDS roles (HealthDataHolder/User/AccessBody), electronic health-data categories (EHR/PatientSummary/Prescription/medical-device data), and secondary-use & access-application concepts to ISO 27701 PII controller/processor stakeholder clauses and access/consent/transfer controls. Each row classifies as `semapv:LLMBasedMatching` and requires human review before promotion to `semapv:LLMBasedMatching`.
# mapping_set_version: 0.2
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_provider: "https://github.com/copilot (model: Claude Opus 4.7)"
# curie_map:
#   legal_eu_ehds: https://w3id.org/lmodel/dpv/legal/eu/ehds/
#   iso27701: https://w3id.org/lmodel/iso27701/
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/

subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_source
legal_eu_ehds:HealthDataHolder	Health Data Holder	skos:closeMatch	iso27701:PIIController	PII controller	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_ehds:TrustedHealthDataHolder	Trusted Health Data Holder	skos:closeMatch	iso27701:PIIController	PII controller	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_ehds:HealthDataUser	Health Data User	skos:closeMatch	iso27701:ThirdParty	third party	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_ehds:HealthDataAccessBody	Health Data Access Body	skos:closeMatch	iso27701:SupervisoryAuthority	supervisory authority	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_ehds:EHDSBoard	European Health Data Space Board	skos:relatedMatch	iso27701:SupervisoryAuthority	supervisory authority	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_ehds:AuthorisedRepresentative	Authorised Representative	skos:closeMatch	iso27701:Clause_7_2_4	Obtain and record consent	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_ehds:HealthProfessionalAccessService	Health Professional Access Service	skos:closeMatch	iso27701:Clause_7_3_8	Providing access mechanism	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_ehds:ElectronicHealthDataAccessService	Electronic Health Data Access Service	skos:closeMatch	iso27701:Clause_7_3_8	Providing access mechanism	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_ehds:HealthDataAccessApplication	Health Data Access Application	skos:closeMatch	iso27701:Clause_7_3_8	Providing access mechanism	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_ehds:HealthDataRequest	Health Data Request	skos:closeMatch	iso27701:Clause_7_5_4	Records of PII disclosure to third parties	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_ehds:DataPermit	Data Permit	skos:closeMatch	iso27701:Clause_7_2_2	Identify lawful basis	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_ehds:PersonalElectronicHealthData	Personal Electronic Health Data	skos:narrowMatch	iso27701:PII	personally identifiable information	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_ehds:ElectronicHealthData	Electronic Health Data	skos:narrowMatch	iso27701:PII	personally identifiable information	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_ehds:NonPersonalElectronicHealthData	Non-Personal Electronic Health Data	skos:relatedMatch	iso27701:PII	personally identifiable information	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_ehds:InferredHealthData	Inferred Health Data	skos:narrowMatch	iso27701:PII	personally identifiable information	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_ehds:GenomicData	Genomic Data	skos:narrowMatch	iso27701:PII	personally identifiable information	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_ehds:EpigenomicData	Epigenomic Data	skos:narrowMatch	iso27701:PII	personally identifiable information	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_ehds:ProteomicData	Proteomic Data	skos:narrowMatch	iso27701:PII	personally identifiable information	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_ehds:TranscriptomicData	Transcriptomic Data	skos:narrowMatch	iso27701:PII	personally identifiable information	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_ehds:MetabolomicData	Metabolomic Data	skos:narrowMatch	iso27701:PII	personally identifiable information	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_ehds:BiobankData	Biobank Data	skos:narrowMatch	iso27701:PII	personally identifiable information	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_ehds:EHR	Electronic Health Record	skos:relatedMatch	iso27701:PII	personally identifiable information	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_ehds:EHRSystem	EHR System	skos:relatedMatch	iso27701:Clause_6_5	Information security risk treatment	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_ehds:EHRSystemTechnicalDocumentation	EHR System Technical Documentation	skos:closeMatch	iso27701:Clause_7_2_8	Records related to processing PII	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_ehds:EHRSystemInformationSheet	EHR System Information Sheet	skos:closeMatch	iso27701:Clause_7_3_2	Information for PII principals	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_ehds:EUDeclarationOfConformity	EU Declaration of Conformity	skos:relatedMatch	iso27701:Clause_5_1	Leadership and commitment	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_ehds:PatientSummary	Patient Summary	skos:relatedMatch	iso27701:PII	personally identifiable information	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_ehds:DischargeReport	Discharge Report	skos:relatedMatch	iso27701:PII	personally identifiable information	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_ehds:ElectronicPrescription	Electronic Prescription	skos:relatedMatch	iso27701:PII	personally identifiable information	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_ehds:ElectronicDispensation	Electronic Dispensation	skos:relatedMatch	iso27701:PII	personally identifiable information	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_ehds:MedicalImaging	Medical Imaging	skos:relatedMatch	iso27701:PII	personally identifiable information	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_ehds:MedicalTestResult	Medical Test Result	skos:relatedMatch	iso27701:PII	personally identifiable information	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_ehds:HealthSurvey	Health Survey	skos:relatedMatch	iso27701:PII	personally identifiable information	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_ehds:HealthQuestionnaire	Health Questionnaire	skos:relatedMatch	iso27701:PII	personally identifiable information	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_ehds:WellnessApplication	Wellness Application	skos:relatedMatch	iso27701:Clause_6_5	Information security risk treatment	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_ehds:WellnessApplicationLabel	Wellness Application Label	skos:relatedMatch	iso27701:Clause_7_3_2	Information for PII principals	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_ehds:DigitalHealthAuthorityActivityReport	Digital Health Authority Activity Report	skos:closeMatch	iso27701:Clause_7_2_8	Records related to processing PII	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_ehds:HealthcareScientificResearch	Healthcare Scientific Research	skos:relatedMatch	iso27701:Clause_7_2_2	Identify lawful basis	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_ehds:DevelopPublicHealthProductsAndServices	Develop Public Health Products & Services	skos:relatedMatch	iso27701:Clause_7_2_1	Identify and document purpose	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_ehds:TrainTestAndEvaluateAISystemsAlgorithms	Train, Test & Evaluate AI Systems & Algorithms	skos:relatedMatch	iso27701:Clause_7_2_1	Identify and document purpose	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_ehds:EuropeanDigitalTestingEnvironment	European Digital Testing Environment	skos:relatedMatch	iso27701:Clause_6_5	Information security risk treatment	semapv:LLMBasedMatching	ISO/IEC 27701:2019
