# mapping_set_id: https://w3id.org/lmodel/dpv/mappings/dpv-legal-eu-nis2-nist-csf-v2
# mapping_set_description: DPV `legal/eu/nis2` extension <-> NIST Cybersecurity Framework v2 alignment. LLM-seeded candidate alignments (Claude Opus 4.7) - the NIS2 schema in DPV 2.3 is intentionally small (incident-notification reports, mitigation advice, compliance status) and maps to the Respond (RS) and Recover (RC) functions of CSF 2.0. Each row classifies as `semapv:LLMBasedMatching` and requires human review before promotion to `semapv:LLMBasedMatching`.
# mapping_set_version: 0.2
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_provider: "https://github.com/copilot (model: Claude Opus 4.7)"
# curie_map:
#   legal_eu_nis2: https://w3id.org/lmodel/dpv/legal/eu/nis2/
#   nist_csf_v2: https://w3id.org/lmodel/nist-csf-v2/
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/

subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_source
legal_eu_nis2:EarlyWarningReport	Early Warning Report	skos:closeMatch	nist_csf_v2:RS_CO	RESPOND - Incident Response Reporting & Communication	semapv:LLMBasedMatching	NIST CSF 2.0
legal_eu_nis2:InitialFeedbackOnIncident	Initial Feedback on Incident	skos:closeMatch	nist_csf_v2:RS_CO	RESPOND - Incident Response Reporting & Communication	semapv:LLMBasedMatching	NIST CSF 2.0
legal_eu_nis2:IntermediateReport	Intermediate Report	skos:closeMatch	nist_csf_v2:RS_AN	RESPOND - Incident Analysis	semapv:LLMBasedMatching	NIST CSF 2.0
legal_eu_nis2:ProgressReport	Progress Report	skos:closeMatch	nist_csf_v2:RS_MA	RESPOND - Incident Management	semapv:LLMBasedMatching	NIST CSF 2.0
legal_eu_nis2:IncidentAssessmentReport	Incident Assessment Report	skos:closeMatch	nist_csf_v2:RS_AN	RESPOND - Incident Analysis	semapv:LLMBasedMatching	NIST CSF 2.0
legal_eu_nis2:FinalReport	Final Report	skos:closeMatch	nist_csf_v2:RC_CO	RECOVER - Incident Recovery Communication	semapv:LLMBasedMatching	NIST CSF 2.0
legal_eu_nis2:SignificantIncidentNotice	Significant Incident Notice	skos:closeMatch	nist_csf_v2:RS_CO	RESPOND - Incident Response Reporting & Communication	semapv:LLMBasedMatching	NIST CSF 2.0
legal_eu_nis2:RiskMitigationAdvice	Risk Mitigation Advice	skos:closeMatch	nist_csf_v2:RS_MI	RESPOND - Incident Mitigation	semapv:LLMBasedMatching	NIST CSF 2.0
legal_eu_nis2:NIS2Compliant	NIS2 Compliant	skos:relatedMatch	nist_csf_v2:GV	GOVERN - Cybersecurity Strategy & Compliance	semapv:LLMBasedMatching	NIST CSF 2.0
legal_eu_nis2:NIS2NonCompliant	NIS2 Non-Compliant	skos:relatedMatch	nist_csf_v2:GV	GOVERN - Cybersecurity Strategy & Compliance	semapv:LLMBasedMatching	NIST CSF 2.0
legal_eu_nis2:NIS2ComplianceUnknown	NIS2 Compliance Unknown	skos:relatedMatch	nist_csf_v2:GV	GOVERN - Cybersecurity Strategy & Compliance	semapv:LLMBasedMatching	NIST CSF 2.0
legal_eu_nis2:NIS2Lawfulness	NIS2 Lawfulness	skos:relatedMatch	nist_csf_v2:GV	GOVERN - Cybersecurity Strategy & Compliance	semapv:LLMBasedMatching	NIST CSF 2.0
