# mapping_set_id: https://w3id.org/lmodel/dpv/mappings/dpv-legal-eu-rights-cfreu
# mapping_set_description: DPV `legal/eu/rights` extension <-> Charter of Fundamental Rights of the European Union (CFREU, 2012/C 326/02) article alignment. LLM-seeded candidate alignments (Claude Opus 4.7) - each DPV rights class names a Charter article in its local identifier (e.g. `A8ProtectionOfPersonalData` <-> CFREU A8), so the seeded `skos:exactMatch` rows are straightforward; titles T1–T7 map to the corresponding Charter titles. Each row classifies as `semapv:LLMBasedMatching` per the Semantic Mapping Vocabulary and requires human review before promotion to `semapv:LLMBasedMatching`.
# mapping_set_version: 0.2
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_provider: "https://github.com/copilot (model: Claude Opus 4.7)"
# curie_map:
#   legal_eu_rights: https://w3id.org/lmodel/dpv/legal/eu/rights/
#   cfreu: http://data.europa.eu/eli/treaty/char_2012/art_
#   cfreu_title: http://data.europa.eu/eli/treaty/char_2012/tit_
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/

subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_source
legal_eu_rights:A1HumanDignity	A1 Human Dignity	skos:exactMatch	cfreu:1	Article 1 - Human dignity	semapv:LLMBasedMatching	CFREU 2012/C 326/02
legal_eu_rights:A2RightToLife	A2 Right to Life	skos:exactMatch	cfreu:2	Article 2 - Right to life	semapv:LLMBasedMatching	CFREU 2012/C 326/02
legal_eu_rights:A3RightToIntegrityOfPerson	A3 Right to Integrity of the Person	skos:exactMatch	cfreu:3	Article 3 - Right to the integrity of the person	semapv:LLMBasedMatching	CFREU 2012/C 326/02
legal_eu_rights:A4ProhibitionOfTortureDegradationPunishment	A4 Prohibition of Torture etc.	skos:exactMatch	cfreu:4	Article 4 - Prohibition of torture and inhuman or degrading treatment or punishment	semapv:LLMBasedMatching	CFREU 2012/C 326/02
legal_eu_rights:A5ProhibitionOfSlaveryForcedLabour	A5 Prohibition of Slavery & Forced Labour	skos:exactMatch	cfreu:5	Article 5 - Prohibition of slavery and forced labour	semapv:LLMBasedMatching	CFREU 2012/C 326/02
legal_eu_rights:A6RightToLibertySecurity	A6 Right to Liberty & Security	skos:exactMatch	cfreu:6	Article 6 - Right to liberty and security	semapv:LLMBasedMatching	CFREU 2012/C 326/02
legal_eu_rights:A7RespectPrivateFamilyLife	A7 Respect for Private & Family Life	skos:exactMatch	cfreu:7	Article 7 - Respect for private and family life	semapv:LLMBasedMatching	CFREU 2012/C 326/02
legal_eu_rights:A8ProtectionOfPersonalData	A8 Protection of Personal Data	skos:exactMatch	cfreu:8	Article 8 - Protection of personal data	semapv:LLMBasedMatching	CFREU 2012/C 326/02
legal_eu_rights:A9RightToMarryFoundFamily	A9 Right to Marry & Found a Family	skos:exactMatch	cfreu:9	Article 9 - Right to marry and right to found a family	semapv:LLMBasedMatching	CFREU 2012/C 326/02
legal_eu_rights:A10FreedomOfThoughtConscienceReligion	A10 Freedom of Thought, Conscience & Religion	skos:exactMatch	cfreu:10	Article 10 - Freedom of thought, conscience and religion	semapv:LLMBasedMatching	CFREU 2012/C 326/02
