# mapping_set_id: https://w3id.org/lmodel/dpv/mappings/dpv-loc-iso3166
# mapping_set_description: DPV `loc` extension <-> ISO 3166-1 alpha-2 country codes. LLM-seeded candidate alignments (Claude Opus 4.7, single-step prompt against DPV 2.3 loc terms and the ISO 3166-1 country list); each row classifies as `semapv:LLMBasedMatching` and requires human review before promotion to `semapv:LLMBasedMatching`. Only the top-level country individuals are seeded here; the 10,000+ ISO 3166-2 subdivision rows in the `loc` extension already encode the subdivision code in their local name (e.g. `loc:USCA` <-> ISO 3166-2 US-CA) and can be mapped algorithmically rather than enumerated.
# mapping_set_version: 0.2
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_provider: "https://github.com/copilot (model: Claude Opus 4.7)"
# curie_map:
#   loc: https://w3id.org/lmodel/dpv/loc/
#   iso3166: "https://www.iso.org/obp/ui/#iso:code:3166:"
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/

subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_source
loc:US	United States	skos:exactMatch	iso3166:US	United States of America	semapv:LLMBasedMatching	ISO 3166-1:2020
loc:GB	United Kingdom	skos:exactMatch	iso3166:GB	United Kingdom of Great Britain and Northern Ireland	semapv:LLMBasedMatching	ISO 3166-1:2020
loc:DE	Germany	skos:exactMatch	iso3166:DE	Germany	semapv:LLMBasedMatching	ISO 3166-1:2020
loc:FR	France	skos:exactMatch	iso3166:FR	France	semapv:LLMBasedMatching	ISO 3166-1:2020
loc:IT	Italy	skos:exactMatch	iso3166:IT	Italy	semapv:LLMBasedMatching	ISO 3166-1:2020
loc:ES	Spain	skos:exactMatch	iso3166:ES	Spain	semapv:LLMBasedMatching	ISO 3166-1:2020
loc:NL	Netherlands	skos:exactMatch	iso3166:NL	Netherlands	semapv:LLMBasedMatching	ISO 3166-1:2020
loc:IE	Ireland	skos:exactMatch	iso3166:IE	Ireland	semapv:LLMBasedMatching	ISO 3166-1:2020
loc:JP	Japan	skos:exactMatch	iso3166:JP	Japan	semapv:LLMBasedMatching	ISO 3166-1:2020
loc:SG	Singapore	skos:exactMatch	iso3166:SG	Singapore	semapv:LLMBasedMatching	ISO 3166-1:2020
loc:IN	India	skos:exactMatch	iso3166:IN	India	semapv:LLMBasedMatching	ISO 3166-1:2020
loc:AU	Australia	skos:exactMatch	iso3166:AU	Australia	semapv:LLMBasedMatching	ISO 3166-1:2020
loc:CA	Canada	skos:exactMatch	iso3166:CA	Canada	semapv:LLMBasedMatching	ISO 3166-1:2020
loc:CH	Switzerland	skos:exactMatch	iso3166:CH	Switzerland	semapv:LLMBasedMatching	ISO 3166-1:2020
loc:KR	Korea (Republic of)	skos:exactMatch	iso3166:KR	Korea, Republic of	semapv:LLMBasedMatching	ISO 3166-1:2020
loc:HK	Hong Kong	skos:exactMatch	iso3166:HK	Hong Kong	semapv:LLMBasedMatching	ISO 3166-1:2020
