# mapping_set_id: https://w3id.org/lmodel/dpv/mappings/dpv-odrl
# mapping_set_description: DPV ↔ ODRL term alignments (curated upstream).
# mapping_set_version: 1.0
# license: https://creativecommons.org/licenses/by/4.0/
# curie_map:
#   dpv: https://github.com/lmodel/dpv/
#   dpv_upstream: https://w3id.org/dpv#
#   skos: http://www.w3.org/2004/02/skos/core#
#   iso29100: https://w3id.org/lmodel/iso29100/
#   odrl: http://www.w3.org/ns/odrl/2/
#   semapv: https://w3id.org/semapv/vocab/

subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_source
dpv:Data		skos:broader	odrl:Asset		semapv:ManualMappingCuration	https://www.w3.org/TR/odrl-vocab/
dpv:Entity		skos:broader	odrl:Party		semapv:ManualMappingCuration	https://www.w3.org/TR/odrl-vocab/
dpv:LegalAgreement		skos:broader	odrl:Policy		semapv:ManualMappingCuration	https://www.w3.org/TR/odrl-vocab/
dpv:PersonalData		skos:broader	odrl:Asset		semapv:ManualMappingCuration	https://www.w3.org/TR/odrl-vocab/
dpv:Processing		skos:broader	odrl:Action		semapv:ManualMappingCuration	https://www.w3.org/TR/odrl-vocab/
dpv:Purpose		skos:broader	odrl:Purpose		semapv:ManualMappingCuration	https://www.w3.org/TR/odrl-vocab/
dpv:hasApplicableLaw		rdf:type	odrl:LeftOperand		semapv:ManualMappingCuration	https://www.w3.org/TR/odrl-vocab/
dpv:hasContext		rdf:type	odrl:LeftOperand		semapv:ManualMappingCuration	https://www.w3.org/TR/odrl-vocab/
dpv:hasData		rdf:type	odrl:LeftOperand		semapv:ManualMappingCuration	https://www.w3.org/TR/odrl-vocab/
dpv:hasDataController		rdf:type	odrl:LeftOperand		semapv:ManualMappingCuration	https://www.w3.org/TR/odrl-vocab/
dpv:hasDataProcessor		rdf:type	odrl:LeftOperand		semapv:ManualMappingCuration	https://www.w3.org/TR/odrl-vocab/
dpv:hasDataSubject		rdf:type	odrl:LeftOperand		semapv:ManualMappingCuration	https://www.w3.org/TR/odrl-vocab/
dpv:hasHumanSubject		rdf:type	odrl:LeftOperand		semapv:ManualMappingCuration	https://www.w3.org/TR/odrl-vocab/
dpv:hasJurisdiction		rdf:type	odrl:LeftOperand		semapv:ManualMappingCuration	https://www.w3.org/TR/odrl-vocab/
dpv:hasLegalBasis		rdf:type	odrl:LeftOperand		semapv:ManualMappingCuration	https://www.w3.org/TR/odrl-vocab/
dpv:hasLocation		rdf:type	odrl:LeftOperand		semapv:ManualMappingCuration	https://www.w3.org/TR/odrl-vocab/
dpv:hasOrganisationalMeasure		rdf:type	odrl:LeftOperand		semapv:ManualMappingCuration	https://www.w3.org/TR/odrl-vocab/
dpv:hasPersonalData		rdf:type	odrl:LeftOperand		semapv:ManualMappingCuration	https://www.w3.org/TR/odrl-vocab/
dpv:hasRecipient		rdf:type	odrl:LeftOperand		semapv:ManualMappingCuration	https://www.w3.org/TR/odrl-vocab/
dpv:hasRight		rdf:type	odrl:LeftOperand		semapv:ManualMappingCuration	https://www.w3.org/TR/odrl-vocab/
dpv:hasRisk		rdf:type	odrl:LeftOperand		semapv:ManualMappingCuration	https://www.w3.org/TR/odrl-vocab/
dpv:hasTechnicalMeasure		rdf:type	odrl:LeftOperand		semapv:ManualMappingCuration	https://www.w3.org/TR/odrl-vocab/
dpv:hasTechnicalOrganisationalMeasure		rdf:type	odrl:LeftOperand		semapv:ManualMappingCuration	https://www.w3.org/TR/odrl-vocab/
dpv:hasTechnology		rdf:type	odrl:LeftOperand		semapv:ManualMappingCuration	https://www.w3.org/TR/odrl-vocab/
