# mapping_set_id: https://w3id.org/lmodel/dpv/mappings/dpv-oscal
# mapping_set_description: DPV <-> OSCAL (NIST Open Security Controls Assessment Language) term alignments. Hand-curated against the lmodel oscal LinkML schema (https://w3id.org/lmodel/oscal/). Bridges OSCAL's control catalog / responsibility model to DPV organisational measures, authority roles, and policy artefacts.
# mapping_set_version: 1.0
# license: https://creativecommons.org/licenses/by/4.0/
# curie_map:
#   dpv: https://w3id.org/lmodel/dpv/
#   oscal: https://w3id.org/lmodel/oscal/
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/

subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_source
dpv:DataController	Data Controller	skos:relatedMatch	oscal:ResponsibleParty	Responsible Party	semapv:LLMBasedMatching	OSCAL (NIST SP 800-53A serialisation)
dpv:DataProtectionAuthority	Data Protection Authority	skos:relatedMatch	oscal:ResponsibleParty	Responsible Party	semapv:LLMBasedMatching	OSCAL (NIST SP 800-53A serialisation)
dpv:DataProtectionOfficer	Data Protection Officer	skos:relatedMatch	oscal:ResponsibleRole	Responsible Role	semapv:LLMBasedMatching	OSCAL (NIST SP 800-53A serialisation)
dpv:DpvPolicy	Policy	skos:relatedMatch	oscal:Catalog	Catalog	semapv:LLMBasedMatching	OSCAL (NIST SP 800-53A serialisation)
dpv:LegalEntity	Legal Entity	skos:closeMatch	oscal:Party	Party	semapv:LLMBasedMatching	OSCAL (NIST SP 800-53A serialisation)
dpv:NaturalPerson	Natural Person	skos:narrowMatch	oscal:Party	Party	semapv:LLMBasedMatching	OSCAL (NIST SP 800-53A serialisation)
dpv:OrganisationalMeasure	Organisational Measure	skos:narrowMatch	oscal:Control	Control	semapv:LLMBasedMatching	OSCAL (NIST SP 800-53A serialisation)
dpv:RiskMitigationMeasure	Risk Mitigation Measure	skos:closeMatch	oscal:Control	Control	semapv:LLMBasedMatching	OSCAL (NIST SP 800-53A serialisation)
dpv:ConsentRecord	Consent Record	skos:relatedMatch	oscal:Resource	Resource	semapv:LLMBasedMatching	OSCAL (NIST SP 800-53A serialisation)
dpv:StorageLocation	Storage Location	skos:closeMatch	oscal:Location	Location	semapv:LLMBasedMatching	OSCAL (NIST SP 800-53A serialisation)
dpv:TechnicalMeasure	Technical Measure	skos:narrowMatch	oscal:Control	Control	semapv:LLMBasedMatching	OSCAL (NIST SP 800-53A serialisation)
dpv:TechnicalOrganisationalMeasure	Technical and Organisational Measure	skos:closeMatch	oscal:Control	Control	semapv:LLMBasedMatching	OSCAL (NIST SP 800-53A serialisation)
