# mapping_set_id: https://w3id.org/lmodel/dpv/mappings/dpv-pd-iso29100
# mapping_set_description: DPV `pd` extension <-> ISO/IEC 29100:2024 (Privacy framework) term alignments. Hand-curated against the lmodel iso29100 LinkML schema (https://w3id.org/lmodel/iso29100/). Maps DPV personal-data categories to ISO 29100 PII concepts and processing roles.
# mapping_set_version: 1.0
# license: https://creativecommons.org/licenses/by/4.0/
# curie_map:
#   pd: https://w3id.org/lmodel/dpv/pd/
#   iso29100: https://w3id.org/lmodel/iso29100/
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/

subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_source
pd:DpvIdentifier	Identifier	skos:closeMatch	iso29100:PersonallyIdentifiableInformation	Personally Identifiable Information	semapv:LLMBasedMatching	ISO/IEC 29100:2024
pd:Identifying	Identifying	skos:closeMatch	iso29100:PersonallyIdentifiableInformation	Personally Identifiable Information	semapv:LLMBasedMatching	ISO/IEC 29100:2024
pd:Name	Name	skos:closeMatch	iso29100:PersonallyIdentifiableInformation	Personally Identifiable Information	semapv:LLMBasedMatching	ISO/IEC 29100:2024
pd:AccountIdentifier	Account Identifier	skos:closeMatch	iso29100:PersonallyIdentifiableInformation	Personally Identifiable Information	semapv:LLMBasedMatching	ISO/IEC 29100:2024
pd:EmailAddress	Email Address	skos:closeMatch	iso29100:PersonallyIdentifiableInformation	Personally Identifiable Information	semapv:LLMBasedMatching	ISO/IEC 29100:2024
pd:EmailAddressPersonal	Personal Email Address	skos:closeMatch	iso29100:PersonallyIdentifiableInformation	Personally Identifiable Information	semapv:LLMBasedMatching	ISO/IEC 29100:2024
pd:EmailAddressWork	Work Email Address	skos:closeMatch	iso29100:PersonallyIdentifiableInformation	Personally Identifiable Information	semapv:LLMBasedMatching	ISO/IEC 29100:2024
pd:PhysicalAddress	Physical Address	skos:closeMatch	iso29100:PersonallyIdentifiableInformation	Personally Identifiable Information	semapv:LLMBasedMatching	ISO/IEC 29100:2024
pd:IPAddress	IP Address	skos:closeMatch	iso29100:PersonallyIdentifiableInformation	Personally Identifiable Information	semapv:LLMBasedMatching	ISO/IEC 29100:2024
pd:MACAddress	MAC Address	skos:closeMatch	iso29100:PersonallyIdentifiableInformation	Personally Identifiable Information	semapv:LLMBasedMatching	ISO/IEC 29100:2024
pd:Biometric	Biometric	skos:closeMatch	iso29100:PersonallyIdentifiableInformation	Personally Identifiable Information	semapv:LLMBasedMatching	ISO/IEC 29100:2024
pd:Fingerprint	Fingerprint	skos:closeMatch	iso29100:PersonallyIdentifiableInformation	Personally Identifiable Information	semapv:LLMBasedMatching	ISO/IEC 29100:2024
pd:BrowserFingerprint	Browser Fingerprint	skos:closeMatch	iso29100:PersonallyIdentifiableInformation	Personally Identifiable Information	semapv:LLMBasedMatching	ISO/IEC 29100:2024
pd:DigitalFingerprint	Digital Fingerprint	skos:closeMatch	iso29100:PersonallyIdentifiableInformation	Personally Identifiable Information	semapv:LLMBasedMatching	ISO/IEC 29100:2024
pd:BankAccount	Bank Account	skos:closeMatch	iso29100:PersonallyIdentifiableInformation	Personally Identifiable Information	semapv:LLMBasedMatching	ISO/IEC 29100:2024
pd:CreditCardNumber	Credit Card Number	skos:closeMatch	iso29100:PersonallyIdentifiableInformation	Personally Identifiable Information	semapv:LLMBasedMatching	ISO/IEC 29100:2024
pd:FinancialAccount	Financial Account	skos:closeMatch	iso29100:PersonallyIdentifiableInformation	Personally Identifiable Information	semapv:LLMBasedMatching	ISO/IEC 29100:2024
pd:FinancialAccountNumber	Financial Account Number	skos:closeMatch	iso29100:PersonallyIdentifiableInformation	Personally Identifiable Information	semapv:LLMBasedMatching	ISO/IEC 29100:2024
pd:Behavioural	Behavioural	skos:relatedMatch	iso29100:PIIProcessingActivity	PII Processing Activity	semapv:LLMBasedMatching	ISO/IEC 29100:2024
pd:BrowsingBehaviour	Browsing Behaviour	skos:relatedMatch	iso29100:PIIProcessingActivity	PII Processing Activity	semapv:LLMBasedMatching	ISO/IEC 29100:2024
pd:BrowsingReferral	Browsing Referral	skos:relatedMatch	iso29100:PIIProcessingActivity	PII Processing Activity	semapv:LLMBasedMatching	ISO/IEC 29100:2024
pd:CurrentLocation	Current Location	skos:relatedMatch	iso29100:PIIProcessingActivity	PII Processing Activity	semapv:LLMBasedMatching	ISO/IEC 29100:2024
pd:HomeLocation	Home Location	skos:closeMatch	iso29100:PersonallyIdentifiableInformation	Personally Identifiable Information	semapv:LLMBasedMatching	ISO/IEC 29100:2024
pd:Citizenship	Citizenship	skos:closeMatch	iso29100:PersonallyIdentifiableInformation	Personally Identifiable Information	semapv:LLMBasedMatching	ISO/IEC 29100:2024
pd:DpvLocation	Location	skos:closeMatch	iso29100:PersonallyIdentifiableInformation	Personally Identifiable Information	semapv:LLMBasedMatching	ISO/IEC 29100:2024
