# mapping_set_id: https://w3id.org/lmodel/dpv/mappings/dpv-risk-iso42001
# mapping_set_description: DPV `risk` extension <-> ISO/IEC 42001:2023 risk-management term alignments. Hand-curated against the lmodel iso42001 LinkML schema (https://w3id.org/lmodel/iso42001/). Covers risk levels, incidents, controls, and treatment plans - high-leverage for FINOS AI/operational-risk overlays.
# mapping_set_version: 1.0
# license: https://creativecommons.org/licenses/by/4.0/
# curie_map:
#   risk: https://w3id.org/lmodel/dpv/risk/
#   iso42001: https://w3id.org/lmodel/iso42001/
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/

subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_source
risk:Incident	Incident	skos:exactMatch	iso42001:AIIncident	AI Incident	semapv:LLMBasedMatching	ISO/IEC 42001:2023
risk:AccidentalIncident	Accidental Incident	skos:closeMatch	iso42001:AIIncident	AI Incident	semapv:LLMBasedMatching	ISO/IEC 42001:2023
risk:DeliberateIncident	Deliberate Incident	skos:closeMatch	iso42001:AIIncident	AI Incident	semapv:LLMBasedMatching	ISO/IEC 42001:2023
risk:EnvironmentalIncident	Environmental Incident	skos:closeMatch	iso42001:AIIncident	AI Incident	semapv:LLMBasedMatching	ISO/IEC 42001:2023
risk:ConfidentialityIncident	Confidentiality Incident	skos:closeMatch	iso42001:AIIncident	AI Incident	semapv:LLMBasedMatching	ISO/IEC 42001:2023
risk:AvailabilityIncident	Availability Incident	skos:closeMatch	iso42001:AIIncident	AI Incident	semapv:LLMBasedMatching	ISO/IEC 42001:2023
risk:CrossBorderIncident	Cross-Border Incident	skos:relatedMatch	iso42001:AIIncident	AI Incident	semapv:LLMBasedMatching	ISO/IEC 42001:2023
risk:IncidentNearMiss	Incident Near-Miss	skos:relatedMatch	iso42001:AIIncident	AI Incident	semapv:LLMBasedMatching	ISO/IEC 42001:2023
risk:IncidentImpactAssessment	Incident Impact Assessment	skos:closeMatch	iso42001:AISystemImpactAssessment	AI System Impact Assessment	semapv:LLMBasedMatching	ISO/IEC 42001:2023
risk:IncidentMitigationMeasure	Incident Mitigation Measure	skos:closeMatch	iso42001:AIRiskTreatmentPlan	AI Risk Treatment Plan	semapv:LLMBasedMatching	ISO/IEC 42001:2023
risk:HighRisk	High Risk	skos:closeMatch	iso42001:AIRisk	AI Risk	semapv:LLMBasedMatching	ISO/IEC 42001:2023
risk:ExtremelyHighRisk	Extremely High Risk	skos:closeMatch	iso42001:AIRisk	AI Risk	semapv:LLMBasedMatching	ISO/IEC 42001:2023
risk:ExtremelyLowRisk	Extremely Low Risk	skos:closeMatch	iso42001:AIRisk	AI Risk	semapv:LLMBasedMatching	ISO/IEC 42001:2023
risk:GroupRisk	Group Risk	skos:relatedMatch	iso42001:AIRisk	AI Risk	semapv:LLMBasedMatching	ISO/IEC 42001:2023
risk:DataRisk	Data Risk	skos:relatedMatch	iso42001:AIRisk	AI Risk	semapv:LLMBasedMatching	ISO/IEC 42001:2023
risk:EnvironmentalRisk	Environmental Risk	skos:relatedMatch	iso42001:AIRisk	AI Risk	semapv:LLMBasedMatching	ISO/IEC 42001:2023
risk:AvoidanceControl	Avoidance Control	skos:closeMatch	iso42001:AIReferenceControl	AI Reference Control	semapv:LLMBasedMatching	ISO/IEC 42001:2023
risk:ConsequenceControl	Consequence Control	skos:closeMatch	iso42001:AIReferenceControl	AI Reference Control	semapv:LLMBasedMatching	ISO/IEC 42001:2023
risk:ContainmentControl	Containment Control	skos:closeMatch	iso42001:AIReferenceControl	AI Reference Control	semapv:LLMBasedMatching	ISO/IEC 42001:2023
risk:DetectionControl	Detection Control	skos:closeMatch	iso42001:AIReferenceControl	AI Reference Control	semapv:LLMBasedMatching	ISO/IEC 42001:2023
risk:EliminationControl	Elimination Control	skos:closeMatch	iso42001:AIReferenceControl	AI Reference Control	semapv:LLMBasedMatching	ISO/IEC 42001:2023
risk:IdentificationControl	Identification Control	skos:closeMatch	iso42001:AIReferenceControl	AI Reference Control	semapv:LLMBasedMatching	ISO/IEC 42001:2023
risk:ImpactControl	Impact Control	skos:closeMatch	iso42001:AIReferenceControl	AI Reference Control	semapv:LLMBasedMatching	ISO/IEC 42001:2023
risk:IncidentAssessmentReport	Incident Assessment Report	skos:relatedMatch	iso42001:AISystemImpactAssessment	AI System Impact Assessment	semapv:LLMBasedMatching	ISO/IEC 42001:2023
risk:IncidentHandlingReport	Incident Handling Report	skos:relatedMatch	iso42001:AIRiskTreatmentPlan	AI Risk Treatment Plan	semapv:LLMBasedMatching	ISO/IEC 42001:2023
