# mapping_set_id: https://w3id.org/lmodel/dpv/mappings/dpv-tech-iso22989
# mapping_set_description: DPV `tech` extension <-> ISO/IEC 22989:2022 (Information technology - AI - AI concepts and terminology) term alignments. LLM-seeded candidate alignments (Claude Opus 4.7, single-step prompt against DPV 2.3 tech terms and the lmodel iso22989 schema). Each row classifies as `semapv:LLMBasedMatching` per the Semantic Mapping Vocabulary and requires human review before promotion to `semapv:LLMBasedMatching`.
# mapping_set_version: 0.2
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_provider: "https://github.com/copilot (model: Claude Opus 4.7)"
# curie_map:
#   tech: https://w3id.org/lmodel/dpv/tech/
#   iso22989: https://w3id.org/lmodel/iso22989/
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/

subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_source
tech:Algorithm	Algorithm	skos:closeMatch	iso22989:Algorithm	algorithm	semapv:LLMBasedMatching	ISO/IEC 22989:2022
tech:Model	Model	skos:closeMatch	iso22989:Model	model	semapv:LLMBasedMatching	ISO/IEC 22989:2022
tech:Prediction	Prediction	skos:closeMatch	iso22989:Prediction	prediction	semapv:LLMBasedMatching	ISO/IEC 22989:2022
tech:Recommendation	Recommendation	skos:closeMatch	iso22989:Recommendation	recommendation	semapv:LLMBasedMatching	ISO/IEC 22989:2022
tech:InputData	Input Data	skos:closeMatch	iso22989:Data	data	semapv:LLMBasedMatching	ISO/IEC 22989:2022
tech:OutputData	Output Data	skos:closeMatch	iso22989:Data	data	semapv:LLMBasedMatching	ISO/IEC 22989:2022
tech:Software	Software	skos:relatedMatch	iso22989:AISystem	AI system	semapv:LLMBasedMatching	ISO/IEC 22989:2022
tech:Hardware	Hardware	skos:relatedMatch	iso22989:AISystem	AI system	semapv:LLMBasedMatching	ISO/IEC 22989:2022
tech:IoT	IoT	skos:relatedMatch	iso22989:AISystem	AI system	semapv:LLMBasedMatching	ISO/IEC 22989:2022
tech:IoTSystem	IoT System	skos:relatedMatch	iso22989:AISystem	AI system	semapv:LLMBasedMatching	ISO/IEC 22989:2022
tech:DpvProvider	Provider	skos:closeMatch	iso22989:Stakeholder	AI stakeholder	semapv:LLMBasedMatching	ISO/IEC 22989:2022
tech:Deployer	Deployer	skos:closeMatch	iso22989:Stakeholder	AI stakeholder	semapv:LLMBasedMatching	ISO/IEC 22989:2022
tech:Developer	Developer	skos:closeMatch	iso22989:Stakeholder	AI stakeholder	semapv:LLMBasedMatching	ISO/IEC 22989:2022
tech:Designer	Designer	skos:closeMatch	iso22989:Stakeholder	AI stakeholder	semapv:LLMBasedMatching	ISO/IEC 22989:2022
tech:DpvOperator	Operator	skos:closeMatch	iso22989:Stakeholder	AI stakeholder	semapv:LLMBasedMatching	ISO/IEC 22989:2022
tech:DpvUser	User	skos:closeMatch	iso22989:Stakeholder	AI stakeholder	semapv:LLMBasedMatching	ISO/IEC 22989:2022
tech:LifecycleStage	Lifecycle Stage	skos:closeMatch	iso22989:AISystemLifecycle	AI system life cycle	semapv:LLMBasedMatching	ISO/IEC 22989:2022
tech:Documentation	Documentation	skos:closeMatch	iso22989:Documentation	documentation	semapv:LLMBasedMatching	ISO/IEC 22989:2022
tech:Capability	Capability	skos:relatedMatch	iso22989:AICapability	AI capability	semapv:LLMBasedMatching	ISO/IEC 22989:2022
tech:Infrastructure	Infrastructure	skos:relatedMatch	iso22989:AISystem	AI system	semapv:LLMBasedMatching	ISO/IEC 22989:2022
