# mapping_set_id: https://w3id.org/lmodel/dpvs/mappings/dpv-gist
# mapping_set_description: DPV ↔ gist (Semantic Arts upper ontology) term alignments. Hand-curated against the lmodel gist LinkML schema (https://w3id.org/lmodel/gists/). Provides upper-ontology grounding for DPVS entities, agreements, contracts, intellectual property, and addresses.
# mapping_set_version: 1.0
# license: https://creativecommons.org/licenses/by/4.0/
# curie_map:
#   dpvs: https://w3id.org/lmodel/dpvs/
#   gists: https://w3id.org/lmodel/gists/
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/

subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_source
dpvs:DataProcessingAgreement	Data Processing Agreement	skos:narrowMatch	gists:Agreement	Agreement	semapv:ManualMappingCuration	gist (Semantic Arts upper ontology)
dpvs:DataSubject	Data Subject	skos:narrowMatch	gists:Person	Person	semapv:ManualMappingCuration	gist (Semantic Arts upper ontology)
dpvs:DpvContract	Contract	skos:exactMatch	gists:Contract	Contract	semapv:ManualMappingCuration	gist (Semantic Arts upper ontology)
dpvs:IntellectualPropertyData	Intellectual Property Data	skos:narrowMatch	gists:IntellectualProperty	Intellectual Property	semapv:ManualMappingCuration	gist (Semantic Arts upper ontology)
dpvs:LegalEntity	Legal Entity	skos:closeMatch	gists:Organization	Organization	semapv:ManualMappingCuration	gist (Semantic Arts upper ontology)
dpvs:NaturalPerson	Natural Person	skos:exactMatch	gists:Person	Person	semapv:ManualMappingCuration	gist (Semantic Arts upper ontology)
dpvs:Obligation	Obligation	skos:closeMatch	gists:ContingentObligation	Contingent Obligation	semapv:ManualMappingCuration	gist (Semantic Arts upper ontology)
dpvs:OrganisationalUnit	Organisational Unit	skos:narrowMatch	gists:Organization	Organization	semapv:ManualMappingCuration	gist (Semantic Arts upper ontology)
dpvs:Permission	Permission	skos:exactMatch	gists:Permission	Permission	semapv:ManualMappingCuration	gist (Semantic Arts upper ontology)
dpvs:PersonalSpace	Personal Space	skos:narrowMatch	gists:GeoRegion	GeoRegion	semapv:ManualMappingCuration	gist (Semantic Arts upper ontology)
dpvs:StorageLocation	Storage Location	skos:closeMatch	gists:GeoLocation	GeoLocation	semapv:ManualMappingCuration	gist (Semantic Arts upper ontology)
dpvs:ThirdParty	Third Party	skos:narrowMatch	gists:Organization	Organization	semapv:ManualMappingCuration	gist (Semantic Arts upper ontology)
