# mapping_set_id: https://w3id.org/lmodel/dpvs/mappings/dpv-iso29100-lmodel
# mapping_set_description: DPV ↔ ISO/IEC 29100 (Privacy Framework) mappings against the lmodel iso29100 LinkML schema (https://w3id.org/lmodel/iso29100/). Supplements the existing dpv-iso.sssom.tsv (which targets only the five core PII roles) by covering privacy-process, risk, breach, policy, control, and stakeholder concepts.
# mapping_set_version: 1.0
# license: https://creativecommons.org/licenses/by/4.0/
# curie_map:
#   dpvs: https://w3id.org/lmodel/dpvs/
#   iso29100: https://w3id.org/lmodel/iso29100/
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/

subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_source
dpvs:ConsentRecord	Consent Record	skos:exactMatch	iso29100:ConsentRecord	Consent Record	semapv:ManualMappingCuration	ISO/IEC 29100 (lmodel)
dpvs:DataBreachRecord	Data Breach Record	skos:closeMatch	iso29100:PrivacyBreach	Privacy Breach	semapv:ManualMappingCuration	ISO/IEC 29100 (lmodel)
dpvs:DataController	Data Controller	skos:exactMatch	iso29100:PIIController	PII Controller	semapv:ManualMappingCuration	ISO/IEC 29100 (lmodel)
dpvs:DataProcessor	Data Processor	skos:exactMatch	iso29100:PIIProcessor	PII Processor	semapv:ManualMappingCuration	ISO/IEC 29100 (lmodel)
dpvs:DataSubject	Data Subject	skos:exactMatch	iso29100:PIIPrincipal	PII Principal	semapv:ManualMappingCuration	ISO/IEC 29100 (lmodel)
dpvs:DpvPolicy	Policy	skos:closeMatch	iso29100:PrivacyPolicy	Privacy Policy	semapv:ManualMappingCuration	ISO/IEC 29100 (lmodel)
dpvs:DpvRisk	Risk	skos:closeMatch	iso29100:PrivacyRisk	Privacy Risk	semapv:ManualMappingCuration	ISO/IEC 29100 (lmodel)
dpvs:InformedConsent	Informed Consent	skos:closeMatch	iso29100:ConsentMechanism	Consent Mechanism	semapv:ManualMappingCuration	ISO/IEC 29100 (lmodel)
dpvs:OrganisationalMeasure	Organisational Measure	skos:broadMatch	iso29100:PrivacyControl	Privacy Control	semapv:ManualMappingCuration	ISO/IEC 29100 (lmodel)
dpvs:PersonalData	Personal Data	skos:closeMatch	iso29100:PersonallyIdentifiableInformation	Personally Identifiable Information	semapv:ManualMappingCuration	ISO/IEC 29100 (lmodel)
dpvs:PersonalDataHandling	Personal Data Handling	skos:exactMatch	iso29100:PIIFlowScenario	PII Flow Scenario	semapv:ManualMappingCuration	ISO/IEC 29100 (lmodel)
dpvs:PersonalDataProcess	Personal Data Process	skos:exactMatch	iso29100:PIIProcessingActivity	PII Processing Activity	semapv:ManualMappingCuration	ISO/IEC 29100 (lmodel)
dpvs:PIA	Privacy Impact Assessment	skos:exactMatch	iso29100:PrivacyImpactAssessment	Privacy Impact Assessment	semapv:ManualMappingCuration	ISO/IEC 29100 (lmodel)
dpvs:PrivacyNotice	Privacy Notice	skos:closeMatch	iso29100:PrivacyPolicy	Privacy Policy	semapv:ManualMappingCuration	ISO/IEC 29100 (lmodel)
dpvs:Processing	Processing	skos:closeMatch	iso29100:PIIProcessingOperation	PII Processing Operation	semapv:ManualMappingCuration	ISO/IEC 29100 (lmodel)
dpvs:RiskMitigationMeasure	Risk Mitigation Measure	skos:closeMatch	iso29100:PrivacySafeguardingRequirement	Privacy Safeguarding Requirement	semapv:ManualMappingCuration	ISO/IEC 29100 (lmodel)
dpvs:TechnicalMeasure	Technical Measure	skos:broadMatch	iso29100:PrivacyControl	Privacy Control	semapv:ManualMappingCuration	ISO/IEC 29100 (lmodel)
dpvs:ThirdParty	Third Party	skos:exactMatch	iso29100:ThirdParty	Third Party	semapv:ManualMappingCuration	ISO/IEC 29100 (lmodel)
