# mapping_set_id: https://w3id.org/lmodel/dpvs/mappings/dpv-iso27001
# mapping_set_description: DPV ↔ ISO/IEC 27001:2022 (Information Security Management System) term alignments. Hand-curated against the lmodel iso27001 LinkML schema (https://w3id.org/lmodel/iso27001/). Connects DPV privacy-governance concepts (risk, audit, controls, organisational/technical measures) to ISMS structural concepts.
# mapping_set_version: 1.0
# license: https://creativecommons.org/licenses/by/4.0/
# curie_map:
#   dpvs: https://w3id.org/lmodel/dpvs/
#   iso27001: https://w3id.org/lmodel/iso27001/
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/

subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_source
dpvs:Audit	Audit	skos:closeMatch	iso27001:InternalAudit	Internal Audit	semapv:ManualMappingCuration	ISO/IEC 27001:2022
dpvs:DataController	Data Controller	skos:relatedMatch	iso27001:Organization	Organization	semapv:ManualMappingCuration	ISO/IEC 27001:2022 (organisation may act as controller)
dpvs:DataProcessor	Data Processor	skos:relatedMatch	iso27001:Organization	Organization	semapv:ManualMappingCuration	ISO/IEC 27001:2022 (organisation may act as processor)
dpvs:DataSubject	Data Subject	skos:relatedMatch	iso27001:InterestedParty	Interested Party	semapv:ManualMappingCuration	ISO/IEC 27001:2022 (data subjects are interested parties of the ISMS)
dpvs:DpvRisk	Risk	skos:closeMatch	iso27001:Risk	Risk	semapv:ManualMappingCuration	ISO/IEC 27001:2022 (security risk specialised to privacy)
dpvs:Encryption	Encryption	skos:narrowMatch	iso27001:SecurityControl	Security Control	semapv:ManualMappingCuration	ISO/IEC 27001:2022 Annex A cryptographic controls
dpvs:OrganisationalMeasure	Organisational Measure	skos:narrowMatch	iso27001:SecurityControl	Security Control	semapv:ManualMappingCuration	ISO/IEC 27001:2022 (organisational subset of Annex A controls)
dpvs:OrganisationalUnit	Organisational Unit	skos:closeMatch	iso27001:Organization	Organization	semapv:ManualMappingCuration	ISO/IEC 27001:2022
dpvs:PersonalData	Personal Data	skos:narrowMatch	iso27001:Asset	Asset	semapv:ManualMappingCuration	ISO/IEC 27001:2022 (PII is an information asset)
dpvs:DataBreachRecord	Data Breach Record	skos:closeMatch	iso27001:InformationSecurityIncident	Information Security Incident	semapv:ManualMappingCuration	ISO/IEC 27001:2022 (data breach as security incident)
dpvs:DpvPolicy	Policy	skos:closeMatch	iso27001:InformationSecurityPolicy	Information Security Policy	semapv:ManualMappingCuration	ISO/IEC 27001:2022
dpvs:ResidualRisk	Residual Risk	skos:relatedMatch	iso27001:RiskTreatmentPlan	Risk Treatment Plan	semapv:ManualMappingCuration	ISO/IEC 27001:2022 (residual risk recorded in treatment plan)
dpvs:RiskAssessment	Risk Assessment	skos:closeMatch	iso27001:RiskAssessment	Risk Assessment	semapv:ManualMappingCuration	ISO/IEC 27001:2022
dpvs:OrganisationRiskManagement	Organisation Risk Management	skos:relatedMatch	iso27001:RiskAssessmentProcess	Risk Assessment Process	semapv:ManualMappingCuration	ISO/IEC 27001:2022
dpvs:RiskMitigationMeasure	Risk Mitigation Measure	skos:closeMatch	iso27001:RiskTreatmentOption	Risk Treatment Option	semapv:ManualMappingCuration	ISO/IEC 27001:2022
dpvs:DataSecurityManagement	Data Security Management	skos:closeMatch	iso27001:InformationSecurityManagementSystem	ISMS	semapv:ManualMappingCuration	ISO/IEC 27001:2022 (ISMS specialised to data security)
dpvs:TechnicalMeasure	Technical Measure	skos:narrowMatch	iso27001:SecurityControl	Security Control	semapv:ManualMappingCuration	ISO/IEC 27001:2022 (technical subset of Annex A controls)
dpvs:ThirdParty	Third Party	skos:closeMatch	iso27001:InterestedParty	Interested Party	semapv:ManualMappingCuration	ISO/IEC 27001:2022
