# mapping_set_id: https://w3id.org/lmodel/dpvs/mappings/dpv-oscal
# mapping_set_description: DPV ↔ OSCAL (NIST Open Security Controls Assessment Language) term alignments. Hand-curated against the lmodel oscal LinkML schema (https://w3id.org/lmodel/oscal/). Bridges OSCAL's control catalog / responsibility model to DPVS organisational measures, authority roles, and policy artefacts.
# mapping_set_version: 1.0
# license: https://creativecommons.org/licenses/by/4.0/
# curie_map:
#   dpvs: https://w3id.org/lmodel/dpvs/
#   oscal: https://w3id.org/lmodel/oscal/
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/

subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_source
dpvs:DataController	Data Controller	skos:relatedMatch	oscal:ResponsibleParty	Responsible Party	semapv:ManualMappingCuration	OSCAL (NIST SP 800-53A serialisation)
dpvs:DataProtectionAuthority	Data Protection Authority	skos:relatedMatch	oscal:ResponsibleParty	Responsible Party	semapv:ManualMappingCuration	OSCAL (NIST SP 800-53A serialisation)
dpvs:DataProtectionOfficer	Data Protection Officer	skos:relatedMatch	oscal:ResponsibleRole	Responsible Role	semapv:ManualMappingCuration	OSCAL (NIST SP 800-53A serialisation)
dpvs:DpvPolicy	Policy	skos:relatedMatch	oscal:Catalog	Catalog	semapv:ManualMappingCuration	OSCAL (NIST SP 800-53A serialisation)
dpvs:LegalEntity	Legal Entity	skos:closeMatch	oscal:Party	Party	semapv:ManualMappingCuration	OSCAL (NIST SP 800-53A serialisation)
dpvs:NaturalPerson	Natural Person	skos:narrowMatch	oscal:Party	Party	semapv:ManualMappingCuration	OSCAL (NIST SP 800-53A serialisation)
dpvs:OrganisationalMeasure	Organisational Measure	skos:narrowMatch	oscal:Control	Control	semapv:ManualMappingCuration	OSCAL (NIST SP 800-53A serialisation)
dpvs:RiskMitigationMeasure	Risk Mitigation Measure	skos:closeMatch	oscal:Control	Control	semapv:ManualMappingCuration	OSCAL (NIST SP 800-53A serialisation)
dpvs:ConsentRecord	Consent Record	skos:relatedMatch	oscal:Resource	Resource	semapv:ManualMappingCuration	OSCAL (NIST SP 800-53A serialisation)
dpvs:StorageLocation	Storage Location	skos:closeMatch	oscal:Location	Location	semapv:ManualMappingCuration	OSCAL (NIST SP 800-53A serialisation)
dpvs:TechnicalMeasure	Technical Measure	skos:narrowMatch	oscal:Control	Control	semapv:ManualMappingCuration	OSCAL (NIST SP 800-53A serialisation)
dpvs:TechnicalOrganisationalMeasure	Technical and Organisational Measure	skos:closeMatch	oscal:Control	Control	semapv:ManualMappingCuration	OSCAL (NIST SP 800-53A serialisation)
